lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
6.0,3.0,5.0,12.0,3.0,4.0,7.0,3.0,6.0,3.0,5.0,7.0,23.0,31.0,36.0,40.0,51.0,46.0,58.0,57.0,63.0,29.0,48.0,22.0,37.0,25.0,62.0,40.0,33,0,1,0,0,0,0,0,33,28,3
3.0,5.0,12.0,3.0,4.0,7.0,3.0,6.0,3.0,5.0,7.0,23.0,31.0,36.0,40.0,51.0,46.0,58.0,57.0,63.0,29.0,48.0,22.0,37.0,25.0,62.0,40.0,33.0,17,0,0,0,0,1,0,0,17,31,3
5.0,12.0,3.0,4.0,7.0,3.0,6.0,3.0,5.0,7.0,23.0,31.0,36.0,40.0,51.0,46.0,58.0,57.0,63.0,29.0,48.0,22.0,37.0,25.0,62.0,40.0,33.0,17.0,45,1,0,0,0,0,0,0,45,1,4
12.0,3.0,4.0,7.0,3.0,6.0,3.0,5.0,7.0,23.0,31.0,36.0,40.0,51.0,46.0,58.0,57.0,63.0,29.0,48.0,22.0,37.0,25.0,62.0,40.0,33.0,17.0,45.0,43,0,0,1,0,0,0,0,43,2,4
3.0,4.0,7.0,3.0,6.0,3.0,5.0,7.0,23.0,31.0,36.0,40.0,51.0,46.0,58.0,57.0,63.0,29.0,48.0,22.0,37.0,25.0,62.0,40.0,33.0,17.0,45.0,43.0,43,0,0,0,1,0,0,0,43,3,4
4.0,7.0,3.0,6.0,3.0,5.0,7.0,23.0,31.0,36.0,40.0,51.0,46.0,58.0,57.0,63.0,29.0,48.0,22.0,37.0,25.0,62.0,40.0,33.0,17.0,45.0,43.0,43.0,41,0,1,0,0,0,0,0,41,4,4
7.0,3.0,6.0,3.0,5.0,7.0,23.0,31.0,36.0,40.0,51.0,46.0,58.0,57.0,63.0,29.0,48.0,22.0,37.0,25.0,62.0,40.0,33.0,17.0,45.0,43.0,43.0,41.0,48,0,0,0,0,0,1,0,48,5,4
3.0,6.0,3.0,5.0,7.0,23.0,31.0,36.0,40.0,51.0,46.0,58.0,57.0,63.0,29.0,48.0,22.0,37.0,25.0,62.0,40.0,33.0,17.0,45.0,43.0,43.0,41.0,48.0,45,0,0,0,0,0,0,1,45,6,4
6.0,3.0,5.0,7.0,23.0,31.0,36.0,40.0,51.0,46.0,58.0,57.0,63.0,29.0,48.0,22.0,37.0,25.0,62.0,40.0,33.0,17.0,45.0,43.0,43.0,41.0,48.0,45.0,47,0,0,0,0,1,0,0,47,7,4
3.0,5.0,7.0,23.0,31.0,36.0,40.0,51.0,46.0,58.0,57.0,63.0,29.0,48.0,22.0,37.0,25.0,62.0,40.0,33.0,17.0,45.0,43.0,43.0,41.0,48.0,45.0,47.0,44,1,0,0,0,0,0,0,44,8,4
5.0,7.0,23.0,31.0,36.0,40.0,51.0,46.0,58.0,57.0,63.0,29.0,48.0,22.0,37.0,25.0,62.0,40.0,33.0,17.0,45.0,43.0,43.0,41.0,48.0,45.0,47.0,44.0,43,0,0,1,0,0,0,0,43,9,4
7.0,23.0,31.0,36.0,40.0,51.0,46.0,58.0,57.0,63.0,29.0,48.0,22.0,37.0,25.0,62.0,40.0,33.0,17.0,45.0,43.0,43.0,41.0,48.0,45.0,47.0,44.0,43.0,49,0,0,0,1,0,0,0,49,10,4
23.0,31.0,36.0,40.0,51.0,46.0,58.0,57.0,63.0,29.0,48.0,22.0,37.0,25.0,62.0,40.0,33.0,17.0,45.0,43.0,43.0,41.0,48.0,45.0,47.0,44.0,43.0,49.0,41,0,1,0,0,0,0,0,41,11,4
31.0,36.0,40.0,51.0,46.0,58.0,57.0,63.0,29.0,48.0,22.0,37.0,25.0,62.0,40.0,33.0,17.0,45.0,43.0,43.0,41.0,48.0,45.0,47.0,44.0,43.0,49.0,41.0,41,0,0,0,0,0,1,0,41,12,4
36.0,40.0,51.0,46.0,58.0,57.0,63.0,29.0,48.0,22.0,37.0,25.0,62.0,40.0,33.0,17.0,45.0,43.0,43.0,41.0,48.0,45.0,47.0,44.0,43.0,49.0,41.0,41.0,44,0,0,0,0,0,0,1,44,13,4
40.0,51.0,46.0,58.0,57.0,63.0,29.0,48.0,22.0,37.0,25.0,62.0,40.0,33.0,17.0,45.0,43.0,43.0,41.0,48.0,45.0,47.0,44.0,43.0,49.0,41.0,41.0,44.0,49,0,0,0,0,1,0,0,49,14,4
51.0,46.0,58.0,57.0,63.0,29.0,48.0,22.0,37.0,25.0,62.0,40.0,33.0,17.0,45.0,43.0,43.0,41.0,48.0,45.0,47.0,44.0,43.0,49.0,41.0,41.0,44.0,49.0,44,1,0,0,0,0,0,0,44,15,4
46.0,58.0,57.0,63.0,29.0,48.0,22.0,37.0,25.0,62.0,40.0,33.0,17.0,45.0,43.0,43.0,41.0,48.0,45.0,47.0,44.0,43.0,49.0,41.0,41.0,44.0,49.0,44.0,39,0,0,1,0,0,0,0,39,16,4
58.0,57.0,63.0,29.0,48.0,22.0,37.0,25.0,62.0,40.0,33.0,17.0,45.0,43.0,43.0,41.0,48.0,45.0,47.0,44.0,43.0,49.0,41.0,41.0,44.0,49.0,44.0,39.0,40,0,0,0,1,0,0,0,40,17,4
57.0,63.0,29.0,48.0,22.0,37.0,25.0,62.0,40.0,33.0,17.0,45.0,43.0,43.0,41.0,48.0,45.0,47.0,44.0,43.0,49.0,41.0,41.0,44.0,49.0,44.0,39.0,40.0,42,0,1,0,0,0,0,0,42,18,4
63.0,29.0,48.0,22.0,37.0,25.0,62.0,40.0,33.0,17.0,45.0,43.0,43.0,41.0,48.0,45.0,47.0,44.0,43.0,49.0,41.0,41.0,44.0,49.0,44.0,39.0,40.0,42.0,47,0,0,0,0,0,1,0,47,19,4
29.0,48.0,22.0,37.0,25.0,62.0,40.0,33.0,17.0,45.0,43.0,43.0,41.0,48.0,45.0,47.0,44.0,43.0,49.0,41.0,41.0,44.0,49.0,44.0,39.0,40.0,42.0,47.0,46,0,0,0,0,0,0,1,46,20,4
48.0,22.0,37.0,25.0,62.0,40.0,33.0,17.0,45.0,43.0,43.0,41.0,48.0,45.0,47.0,44.0,43.0,49.0,41.0,41.0,44.0,49.0,44.0,39.0,40.0,42.0,47.0,46.0,61,0,0,0,0,1,0,0,61,21,4
22.0,37.0,25.0,62.0,40.0,33.0,17.0,45.0,43.0,43.0,41.0,48.0,45.0,47.0,44.0,43.0,49.0,41.0,41.0,44.0,49.0,44.0,39.0,40.0,42.0,47.0,46.0,61.0,77,1,0,0,0,0,0,0,77,22,4
37.0,25.0,62.0,40.0,33.0,17.0,45.0,43.0,43.0,41.0,48.0,45.0,47.0,44.0,43.0,49.0,41.0,41.0,44.0,49.0,44.0,39.0,40.0,42.0,47.0,46.0,61.0,77.0,80,0,0,1,0,0,0,0,80,23,4
25.0,62.0,40.0,33.0,17.0,45.0,43.0,43.0,41.0,48.0,45.0,47.0,44.0,43.0,49.0,41.0,41.0,44.0,49.0,44.0,39.0,40.0,42.0,47.0,46.0,61.0,77.0,80.0,50,0,0,0,1,0,0,0,50,24,4
62.0,40.0,33.0,17.0,45.0,43.0,43.0,41.0,48.0,45.0,47.0,44.0,43.0,49.0,41.0,41.0,44.0,49.0,44.0,39.0,40.0,42.0,47.0,46.0,61.0,77.0,80.0,50.0,74,0,1,0,0,0,0,0,74,25,4
40.0,33.0,17.0,45.0,43.0,43.0,41.0,48.0,45.0,47.0,44.0,43.0,49.0,41.0,41.0,44.0,49.0,44.0,39.0,40.0,42.0,47.0,46.0,61.0,77.0,80.0,50.0,74.0,48,0,0,0,0,0,1,0,48,26,4
33.0,17.0,45.0,43.0,43.0,41.0,48.0,45.0,47.0,44.0,43.0,49.0,41.0,41.0,44.0,49.0,44.0,39.0,40.0,42.0,47.0,46.0,61.0,77.0,80.0,50.0,74.0,48.0,43,0,0,0,0,0,0,1,43,27,4
17.0,45.0,43.0,43.0,41.0,48.0,45.0,47.0,44.0,43.0,49.0,41.0,41.0,44.0,49.0,44.0,39.0,40.0,42.0,47.0,46.0,61.0,77.0,80.0,50.0,74.0,48.0,43.0,58,0,0,0,0,1,0,0,58,28,4
45.0,43.0,43.0,41.0,48.0,45.0,47.0,44.0,43.0,49.0,41.0,41.0,44.0,49.0,44.0,39.0,40.0,42.0,47.0,46.0,61.0,77.0,80.0,50.0,74.0,48.0,43.0,58.0,74,1,0,0,0,0,0,0,74,29,4
43.0,43.0,41.0,48.0,45.0,47.0,44.0,43.0,49.0,41.0,41.0,44.0,49.0,44.0,39.0,40.0,42.0,47.0,46.0,61.0,77.0,80.0,50.0,74.0,48.0,43.0,58.0,74.0,44,0,0,1,0,0,0,0,44,30,4
43.0,41.0,48.0,45.0,47.0,44.0,43.0,49.0,41.0,41.0,44.0,49.0,44.0,39.0,40.0,42.0,47.0,46.0,61.0,77.0,80.0,50.0,74.0,48.0,43.0,58.0,74.0,44.0,44,0,1,0,0,0,0,0,44,2,5
41.0,48.0,45.0,47.0,44.0,43.0,49.0,41.0,41.0,44.0,49.0,44.0,39.0,40.0,42.0,47.0,46.0,61.0,77.0,80.0,50.0,74.0,48.0,43.0,58.0,74.0,44.0,44.0,64,0,0,0,0,0,1,0,64,3,5
48.0,45.0,47.0,44.0,43.0,49.0,41.0,41.0,44.0,49.0,44.0,39.0,40.0,42.0,47.0,46.0,61.0,77.0,80.0,50.0,74.0,48.0,43.0,58.0,74.0,44.0,44.0,64.0,64,0,0,0,0,0,0,1,64,4,5
45.0,47.0,44.0,43.0,49.0,41.0,41.0,44.0,49.0,44.0,39.0,40.0,42.0,47.0,46.0,61.0,77.0,80.0,50.0,74.0,48.0,43.0,58.0,74.0,44.0,44.0,64.0,64.0,71,0,0,0,0,1,0,0,71,5,5
47.0,44.0,43.0,49.0,41.0,41.0,44.0,49.0,44.0,39.0,40.0,42.0,47.0,46.0,61.0,77.0,80.0,50.0,74.0,48.0,43.0,58.0,74.0,44.0,44.0,64.0,64.0,71.0,74,1,0,0,0,0,0,0,74,6,5
44.0,43.0,49.0,41.0,41.0,44.0,49.0,44.0,39.0,40.0,42.0,47.0,46.0,61.0,77.0,80.0,50.0,74.0,48.0,43.0,58.0,74.0,44.0,44.0,64.0,64.0,71.0,74.0,64,0,0,1,0,0,0,0,64,7,5
43.0,49.0,41.0,41.0,44.0,49.0,44.0,39.0,40.0,42.0,47.0,46.0,61.0,77.0,80.0,50.0,74.0,48.0,43.0,58.0,74.0,44.0,44.0,64.0,64.0,71.0,74.0,64.0,44,0,1,0,0,0,0,0,44,9,5
49.0,41.0,41.0,44.0,49.0,44.0,39.0,40.0,42.0,47.0,46.0,61.0,77.0,80.0,50.0,74.0,48.0,43.0,58.0,74.0,44.0,44.0,64.0,64.0,71.0,74.0,64.0,44.0,48,0,0,0,0,0,1,0,48,10,5
41.0,41.0,44.0,49.0,44.0,39.0,40.0,42.0,47.0,46.0,61.0,77.0,80.0,50.0,74.0,48.0,43.0,58.0,74.0,44.0,44.0,64.0,64.0,71.0,74.0,64.0,44.0,48.0,61,0,0,0,0,0,0,1,61,11,5
41.0,44.0,49.0,44.0,39.0,40.0,42.0,47.0,46.0,61.0,77.0,80.0,50.0,74.0,48.0,43.0,58.0,74.0,44.0,44.0,64.0,64.0,71.0,74.0,64.0,44.0,48.0,61.0,71,0,0,0,0,1,0,0,71,12,5
44.0,49.0,44.0,39.0,40.0,42.0,47.0,46.0,61.0,77.0,80.0,50.0,74.0,48.0,43.0,58.0,74.0,44.0,44.0,64.0,64.0,71.0,74.0,64.0,44.0,48.0,61.0,71.0,58,1,0,0,0,0,0,0,58,13,5
49.0,44.0,39.0,40.0,42.0,47.0,46.0,61.0,77.0,80.0,50.0,74.0,48.0,43.0,58.0,74.0,44.0,44.0,64.0,64.0,71.0,74.0,64.0,44.0,48.0,61.0,71.0,58.0,87,0,0,1,0,0,0,0,87,14,5
44.0,39.0,40.0,42.0,47.0,46.0,61.0,77.0,80.0,50.0,74.0,48.0,43.0,58.0,74.0,44.0,44.0,64.0,64.0,71.0,74.0,64.0,44.0,48.0,61.0,71.0,58.0,87.0,44,0,0,0,1,0,0,0,44,15,5
39.0,40.0,42.0,47.0,46.0,61.0,77.0,80.0,50.0,74.0,48.0,43.0,58.0,74.0,44.0,44.0,64.0,64.0,71.0,74.0,64.0,44.0,48.0,61.0,71.0,58.0,87.0,44.0,54,0,1,0,0,0,0,0,54,16,5
40.0,42.0,47.0,46.0,61.0,77.0,80.0,50.0,74.0,48.0,43.0,58.0,74.0,44.0,44.0,64.0,64.0,71.0,74.0,64.0,44.0,48.0,61.0,71.0,58.0,87.0,44.0,54.0,46,0,0,0,0,0,1,0,46,17,5
42.0,47.0,46.0,61.0,77.0,80.0,50.0,74.0,48.0,43.0,58.0,74.0,44.0,44.0,64.0,64.0,71.0,74.0,64.0,44.0,48.0,61.0,71.0,58.0,87.0,44.0,54.0,46.0,44,0,0,0,0,0,0,1,44,18,5
47.0,46.0,61.0,77.0,80.0,50.0,74.0,48.0,43.0,58.0,74.0,44.0,44.0,64.0,64.0,71.0,74.0,64.0,44.0,48.0,61.0,71.0,58.0,87.0,44.0,54.0,46.0,44.0,50,0,0,0,0,1,0,0,50,19,5
46.0,61.0,77.0,80.0,50.0,74.0,48.0,43.0,58.0,74.0,44.0,44.0,64.0,64.0,71.0,74.0,64.0,44.0,48.0,61.0,71.0,58.0,87.0,44.0,54.0,46.0,44.0,50.0,84,1,0,0,0,0,0,0,84,20,5
61.0,77.0,80.0,50.0,74.0,48.0,43.0,58.0,74.0,44.0,44.0,64.0,64.0,71.0,74.0,64.0,44.0,48.0,61.0,71.0,58.0,87.0,44.0,54.0,46.0,44.0,50.0,84.0,93,0,0,1,0,0,0,0,93,21,5
77.0,80.0,50.0,74.0,48.0,43.0,58.0,74.0,44.0,44.0,64.0,64.0,71.0,74.0,64.0,44.0,48.0,61.0,71.0,58.0,87.0,44.0,54.0,46.0,44.0,50.0,84.0,93.0,61,0,0,0,1,0,0,0,61,22,5
80.0,50.0,74.0,48.0,43.0,58.0,74.0,44.0,44.0,64.0,64.0,71.0,74.0,64.0,44.0,48.0,61.0,71.0,58.0,87.0,44.0,54.0,46.0,44.0,50.0,84.0,93.0,61.0,97,0,1,0,0,0,0,0,97,23,5
50.0,74.0,48.0,43.0,58.0,74.0,44.0,44.0,64.0,64.0,71.0,74.0,64.0,44.0,48.0,61.0,71.0,58.0,87.0,44.0,54.0,46.0,44.0,50.0,84.0,93.0,61.0,97.0,84,0,0,0,0,0,1,0,84,24,5
74.0,48.0,43.0,58.0,74.0,44.0,44.0,64.0,64.0,71.0,74.0,64.0,44.0,48.0,61.0,71.0,58.0,87.0,44.0,54.0,46.0,44.0,50.0,84.0,93.0,61.0,97.0,84.0,100,0,0,0,0,0,0,1,100,25,5
48.0,43.0,58.0,74.0,44.0,44.0,64.0,64.0,71.0,74.0,64.0,44.0,48.0,61.0,71.0,58.0,87.0,44.0,54.0,46.0,44.0,50.0,84.0,93.0,61.0,97.0,84.0,100.0,71,0,0,0,0,1,0,0,71,26,5
43.0,58.0,74.0,44.0,44.0,64.0,64.0,71.0,74.0,64.0,44.0,48.0,61.0,71.0,58.0,87.0,44.0,54.0,46.0,44.0,50.0,84.0,93.0,61.0,97.0,84.0,100.0,71.0,50,1,0,0,0,0,0,0,50,27,5
58.0,74.0,44.0,44.0,64.0,64.0,71.0,74.0,64.0,44.0,48.0,61.0,71.0,58.0,87.0,44.0,54.0,46.0,44.0,50.0,84.0,93.0,61.0,97.0,84.0,100.0,71.0,50.0,54,0,0,1,0,0,0,0,54,28,5
74.0,44.0,44.0,64.0,64.0,71.0,74.0,64.0,44.0,48.0,61.0,71.0,58.0,87.0,44.0,54.0,46.0,44.0,50.0,84.0,93.0,61.0,97.0,84.0,100.0,71.0,50.0,54.0,58,0,0,0,1,0,0,0,58,29,5
44.0,44.0,64.0,64.0,71.0,74.0,64.0,44.0,48.0,61.0,71.0,58.0,87.0,44.0,54.0,46.0,44.0,50.0,84.0,93.0,61.0,97.0,84.0,100.0,71.0,50.0,54.0,58.0,54,0,1,0,0,0,0,0,54,30,5
44.0,64.0,64.0,71.0,74.0,64.0,44.0,48.0,61.0,71.0,58.0,87.0,44.0,54.0,46.0,44.0,50.0,84.0,93.0,61.0,97.0,84.0,100.0,71.0,50.0,54.0,58.0,54.0,61,0,0,0,0,0,1,0,61,31,5
64.0,64.0,71.0,74.0,64.0,44.0,48.0,61.0,71.0,58.0,87.0,44.0,54.0,46.0,44.0,50.0,84.0,93.0,61.0,97.0,84.0,100.0,71.0,50.0,54.0,58.0,54.0,61.0,50,0,0,0,0,0,0,1,50,1,6
64.0,71.0,74.0,64.0,44.0,48.0,61.0,71.0,58.0,87.0,44.0,54.0,46.0,44.0,50.0,84.0,93.0,61.0,97.0,84.0,100.0,71.0,50.0,54.0,58.0,54.0,61.0,50.0,49,0,0,0,0,1,0,0,49,2,6
71.0,74.0,64.0,44.0,48.0,61.0,71.0,58.0,87.0,44.0,54.0,46.0,44.0,50.0,84.0,93.0,61.0,97.0,84.0,100.0,71.0,50.0,54.0,58.0,54.0,61.0,50.0,49.0,48,1,0,0,0,0,0,0,48,3,6
74.0,64.0,44.0,48.0,61.0,71.0,58.0,87.0,44.0,54.0,46.0,44.0,50.0,84.0,93.0,61.0,97.0,84.0,100.0,71.0,50.0,54.0,58.0,54.0,61.0,50.0,49.0,48.0,26,0,0,1,0,0,0,0,26,4,6
64.0,44.0,48.0,61.0,71.0,58.0,87.0,44.0,54.0,46.0,44.0,50.0,84.0,93.0,61.0,97.0,84.0,100.0,71.0,50.0,54.0,58.0,54.0,61.0,50.0,49.0,48.0,26.0,45,0,0,0,1,0,0,0,45,5,6
44.0,48.0,61.0,71.0,58.0,87.0,44.0,54.0,46.0,44.0,50.0,84.0,93.0,61.0,97.0,84.0,100.0,71.0,50.0,54.0,58.0,54.0,61.0,50.0,49.0,48.0,26.0,45.0,45,0,1,0,0,0,0,0,45,6,6
48.0,61.0,71.0,58.0,87.0,44.0,54.0,46.0,44.0,50.0,84.0,93.0,61.0,97.0,84.0,100.0,71.0,50.0,54.0,58.0,54.0,61.0,50.0,49.0,48.0,26.0,45.0,45.0,54,0,0,0,0,0,1,0,54,7,6
61.0,71.0,58.0,87.0,44.0,54.0,46.0,44.0,50.0,84.0,93.0,61.0,97.0,84.0,100.0,71.0,50.0,54.0,58.0,54.0,61.0,50.0,49.0,48.0,26.0,45.0,45.0,54.0,54,0,0,0,0,0,0,1,54,8,6
71.0,58.0,87.0,44.0,54.0,46.0,44.0,50.0,84.0,93.0,61.0,97.0,84.0,100.0,71.0,50.0,54.0,58.0,54.0,61.0,50.0,49.0,48.0,26.0,45.0,45.0,54.0,54.0,49,0,0,0,0,1,0,0,49,9,6
58.0,87.0,44.0,54.0,46.0,44.0,50.0,84.0,93.0,61.0,97.0,84.0,100.0,71.0,50.0,54.0,58.0,54.0,61.0,50.0,49.0,48.0,26.0,45.0,45.0,54.0,54.0,49.0,42,1,0,0,0,0,0,0,42,10,6
87.0,44.0,54.0,46.0,44.0,50.0,84.0,93.0,61.0,97.0,84.0,100.0,71.0,50.0,54.0,58.0,54.0,61.0,50.0,49.0,48.0,26.0,45.0,45.0,54.0,54.0,49.0,42.0,44,0,0,1,0,0,0,0,44,11,6
44.0,54.0,46.0,44.0,50.0,84.0,93.0,61.0,97.0,84.0,100.0,71.0,50.0,54.0,58.0,54.0,61.0,50.0,49.0,48.0,26.0,45.0,45.0,54.0,54.0,49.0,42.0,44.0,54,0,0,0,1,0,0,0,54,12,6
54.0,46.0,44.0,50.0,84.0,93.0,61.0,97.0,84.0,100.0,71.0,50.0,54.0,58.0,54.0,61.0,50.0,49.0,48.0,26.0,45.0,45.0,54.0,54.0,49.0,42.0,44.0,54.0,46,0,1,0,0,0,0,0,46,13,6
46.0,44.0,50.0,84.0,93.0,61.0,97.0,84.0,100.0,71.0,50.0,54.0,58.0,54.0,61.0,50.0,49.0,48.0,26.0,45.0,45.0,54.0,54.0,49.0,42.0,44.0,54.0,46.0,51,0,0,0,0,0,1,0,51,14,6
44.0,50.0,84.0,93.0,61.0,97.0,84.0,100.0,71.0,50.0,54.0,58.0,54.0,61.0,50.0,49.0,48.0,26.0,45.0,45.0,54.0,54.0,49.0,42.0,44.0,54.0,46.0,51.0,105,0,0,0,0,0,0,1,105,15,6
50.0,84.0,93.0,61.0,97.0,84.0,100.0,71.0,50.0,54.0,58.0,54.0,61.0,50.0,49.0,48.0,26.0,45.0,45.0,54.0,54.0,49.0,42.0,44.0,54.0,46.0,51.0,105.0,54,0,0,0,0,1,0,0,54,16,6
84.0,93.0,61.0,97.0,84.0,100.0,71.0,50.0,54.0,58.0,54.0,61.0,50.0,49.0,48.0,26.0,45.0,45.0,54.0,54.0,49.0,42.0,44.0,54.0,46.0,51.0,105.0,54.0,54,1,0,0,0,0,0,0,54,17,6
93.0,61.0,97.0,84.0,100.0,71.0,50.0,54.0,58.0,54.0,61.0,50.0,49.0,48.0,26.0,45.0,45.0,54.0,54.0,49.0,42.0,44.0,54.0,46.0,51.0,105.0,54.0,54.0,67,0,0,1,0,0,0,0,67,18,6
61.0,97.0,84.0,100.0,71.0,50.0,54.0,58.0,54.0,61.0,50.0,49.0,48.0,26.0,45.0,45.0,54.0,54.0,49.0,42.0,44.0,54.0,46.0,51.0,105.0,54.0,54.0,67.0,49,0,0,0,1,0,0,0,49,19,6
97.0,84.0,100.0,71.0,50.0,54.0,58.0,54.0,61.0,50.0,49.0,48.0,26.0,45.0,45.0,54.0,54.0,49.0,42.0,44.0,54.0,46.0,51.0,105.0,54.0,54.0,67.0,49.0,45,0,1,0,0,0,0,0,45,20,6
84.0,100.0,71.0,50.0,54.0,58.0,54.0,61.0,50.0,49.0,48.0,26.0,45.0,45.0,54.0,54.0,49.0,42.0,44.0,54.0,46.0,51.0,105.0,54.0,54.0,67.0,49.0,45.0,54,0,0,0,0,0,1,0,54,21,6
100.0,71.0,50.0,54.0,58.0,54.0,61.0,50.0,49.0,48.0,26.0,45.0,45.0,54.0,54.0,49.0,42.0,44.0,54.0,46.0,51.0,105.0,54.0,54.0,67.0,49.0,45.0,54.0,51,0,0,0,0,0,0,1,51,22,6
71.0,50.0,54.0,58.0,54.0,61.0,50.0,49.0,48.0,26.0,45.0,45.0,54.0,54.0,49.0,42.0,44.0,54.0,46.0,51.0,105.0,54.0,54.0,67.0,49.0,45.0,54.0,51.0,64,0,0,0,0,1,0,0,64,23,6
50.0,54.0,58.0,54.0,61.0,50.0,49.0,48.0,26.0,45.0,45.0,54.0,54.0,49.0,42.0,44.0,54.0,46.0,51.0,105.0,54.0,54.0,67.0,49.0,45.0,54.0,51.0,64.0,50,1,0,0,0,0,0,0,50,24,6
54.0,58.0,54.0,61.0,50.0,49.0,48.0,26.0,45.0,45.0,54.0,54.0,49.0,42.0,44.0,54.0,46.0,51.0,105.0,54.0,54.0,67.0,49.0,45.0,54.0,51.0,64.0,50.0,61,0,0,1,0,0,0,0,61,25,6
58.0,54.0,61.0,50.0,49.0,48.0,26.0,45.0,45.0,54.0,54.0,49.0,42.0,44.0,54.0,46.0,51.0,105.0,54.0,54.0,67.0,49.0,45.0,54.0,51.0,64.0,50.0,61.0,61,0,0,0,1,0,0,0,61,26,6
54.0,61.0,50.0,49.0,48.0,26.0,45.0,45.0,54.0,54.0,49.0,42.0,44.0,54.0,46.0,51.0,105.0,54.0,54.0,67.0,49.0,45.0,54.0,51.0,64.0,50.0,61.0,61.0,54,0,1,0,0,0,0,0,54,27,6
61.0,50.0,49.0,48.0,26.0,45.0,45.0,54.0,54.0,49.0,42.0,44.0,54.0,46.0,51.0,105.0,54.0,54.0,67.0,49.0,45.0,54.0,51.0,64.0,50.0,61.0,61.0,54.0,44,0,0,0,0,0,1,0,44,28,6
50.0,49.0,48.0,26.0,45.0,45.0,54.0,54.0,49.0,42.0,44.0,54.0,46.0,51.0,105.0,54.0,54.0,67.0,49.0,45.0,54.0,51.0,64.0,50.0,61.0,61.0,54.0,44.0,41,0,0,0,0,0,0,1,41,29,6
49.0,48.0,26.0,45.0,45.0,54.0,54.0,49.0,42.0,44.0,54.0,46.0,51.0,105.0,54.0,54.0,67.0,49.0,45.0,54.0,51.0,64.0,50.0,61.0,61.0,54.0,44.0,41.0,41,0,0,0,0,1,0,0,41,30,6
48.0,26.0,45.0,45.0,54.0,54.0,49.0,42.0,44.0,54.0,46.0,51.0,105.0,54.0,54.0,67.0,49.0,45.0,54.0,51.0,64.0,50.0,61.0,61.0,54.0,44.0,41.0,41.0,31,1,0,0,0,0,0,0,31,1,7
26.0,45.0,45.0,54.0,54.0,49.0,42.0,44.0,54.0,46.0,51.0,105.0,54.0,54.0,67.0,49.0,45.0,54.0,51.0,64.0,50.0,61.0,61.0,54.0,44.0,41.0,41.0,31.0,38,0,0,1,0,0,0,0,38,2,7
45.0,45.0,54.0,54.0,49.0,42.0,44.0,54.0,46.0,51.0,105.0,54.0,54.0,67.0,49.0,45.0,54.0,51.0,64.0,50.0,61.0,61.0,54.0,44.0,41.0,41.0,31.0,38.0,54,0,0,0,1,0,0,0,54,3,7
45.0,54.0,54.0,49.0,42.0,44.0,54.0,46.0,51.0,105.0,54.0,54.0,67.0,49.0,45.0,54.0,51.0,64.0,50.0,61.0,61.0,54.0,44.0,41.0,41.0,31.0,38.0,54.0,80,0,1,0,0,0,0,0,80,4,7
54.0,54.0,49.0,42.0,44.0,54.0,46.0,51.0,105.0,54.0,54.0,67.0,49.0,45.0,54.0,51.0,64.0,50.0,61.0,61.0,54.0,44.0,41.0,41.0,31.0,38.0,54.0,80.0,50,0,0,0,0,0,1,0,50,5,7
54.0,49.0,42.0,44.0,54.0,46.0,51.0,105.0,54.0,54.0,67.0,49.0,45.0,54.0,51.0,64.0,50.0,61.0,61.0,54.0,44.0,41.0,41.0,31.0,38.0,54.0,80.0,50.0,47,0,0,0,0,0,0,1,47,6,7
49.0,42.0,44.0,54.0,46.0,51.0,105.0,54.0,54.0,67.0,49.0,45.0,54.0,51.0,64.0,50.0,61.0,61.0,54.0,44.0,41.0,41.0,31.0,38.0,54.0,80.0,50.0,47.0,44,0,0,0,0,1,0,0,44,7,7
42.0,44.0,54.0,46.0,51.0,105.0,54.0,54.0,67.0,49.0,45.0,54.0,51.0,64.0,50.0,61.0,61.0,54.0,44.0,41.0,41.0,31.0,38.0,54.0,80.0,50.0,47.0,44.0,40,1,0,0,0,0,0,0,40,8,7
44.0,54.0,46.0,51.0,105.0,54.0,54.0,67.0,49.0,45.0,54.0,51.0,64.0,50.0,61.0,61.0,54.0,44.0,41.0,41.0,31.0,38.0,54.0,80.0,50.0,47.0,44.0,40.0,48,0,0,1,0,0,0,0,48,9,7
54.0,46.0,51.0,105.0,54.0,54.0,67.0,49.0,45.0,54.0,51.0,64.0,50.0,61.0,61.0,54.0,44.0,41.0,41.0,31.0,38.0,54.0,80.0,50.0,47.0,44.0,40.0,48.0,51,0,0,0,1,0,0,0,51,10,7
46.0,51.0,105.0,54.0,54.0,67.0,49.0,45.0,54.0,51.0,64.0,50.0,61.0,61.0,54.0,44.0,41.0,41.0,31.0,38.0,54.0,80.0,50.0,47.0,44.0,40.0,48.0,51.0,58,0,1,0,0,0,0,0,58,11,7
